ParticipantID,SceneName,D0_Dis,D0_Den,D1_Dis,D1_Den,Dis(comparison),Den(comparison),Position,SelectedDoor,ReactTime
1,4Dis_den_5.6_7I6_3,5.6,7,6,3,5,1,0,1,3.409
1,3Dis_den_4.6_3I5.6_3,4.6,3,5.6,3,6,2,0,0,2.265
1,5Dis_den_5.6_7I6_3,5.6,7,6,3,5,1,0,1,1.944
1,3Dis_den_4.6_7I5.6_3,4.6,7,5.6,3,6,1,0,1,2.166
1,2Dis_den_4.6_7I5.6_3,4.6,7,5.6,3,6,1,0,1,3.58
1,3Dis_den_5.6_7I6_7,5.6,7,6,7,5,2,0,0,3.698
1,Dis_den_6_7I5.6_3,6,7,5.6,3,3,1,0,1,1.966
1,5Dis_den_5.6_7I5.6_3,5.6,7,5.6,3,4,1,0,1,2.324
1,4Dis_den_6_7I5.6_3,6,7,5.6,3,3,1,0,1,2.355
1,5Dis_den_4.6_7I5.6_3,4.6,7,5.6,3,6,1,0,1,2.247
1,3Dis_den_V_6_7I5.6_3,6,7,5.6,3,3,1,1,1,2.572
1,2Dis_den_V_6_7I5.6_3,6,7,5.6,3,3,1,1,1,2.124
1,Dis_den_6_7I4.6_3,6,7,4.6,3,1,1,0,1,1.819
1,4Dis_den_5.6_7I6_7,5.6,7,6,7,5,2,0,0,2.01
1,Dis_den_4.6_3I4.6_7,4.6,3,4.6,7,4,3,0,0,1.528
1,Dis_den_V_5.6_7I5.6_3,5.6,7,5.6,3,4,1,1,1,1.918
1,3Dis_den_5.6_3I6_3,5.6,3,6,3,5,2,0,0,3.145
1,2Dis_den_4.6_7I6_3,4.6,7,6,3,7,1,0,1,1.975
1,3Dis_den_V_5.6_7I6_7,5.6,7,6,7,5,2,1,0,3.521
1,3Dis_den_V_4.6_7I5.6_7,4.6,7,5.6,7,6,2,1,0,2.512
1,4Dis_den_6_3I6_7,6,3,6,7,4,3,0,0,2.506
1,5Dis_den_V_4.6_3I4.6_7,4.6,3,4.6,7,4,3,1,0,2.635
1,5Dis_den_V_6_7I5.6_3,6,7,5.6,3,3,1,1,1,1.838
1,5Dis_den_V_6_7I4.6_3,6,7,4.6,3,1,1,1,1,2.278
1,3Dis_den_6_7I4.6_3,6,7,4.6,3,1,1,0,1,2.317
1,2Dis_den_5.6_7I5.6_3,5.6,7,5.6,3,4,1,0,1,2.404
1,3Dis_den_4.6_7I6_7,4.6,7,6,7,7,2,0,0,2.968
1,3Dis_den_V_4.6_3I4.6_7,4.6,3,4.6,7,4,3,1,0,2.751
1,4Dis_den_V_4.6_7I6_7,4.6,7,6,7,7,2,1,1,3.823
1,3Dis_den_V_6_7I4.6_3,6,7,4.6,3,1,1,1,1,1.745
1,5Dis_den_5.6_7I4.6_3,5.6,7,4.6,3,2,1,0,1,1.374
1,3Dis_den_6_7I5.6_3,6,7,5.6,3,3,1,0,1,1.533
